A层字段(协议声称),B层已解析(绿色=是),C层已下传(绿色=是)
光伏电压 0.1V(0x1403),GREEN,GREEN
电池电压 0.1V(0x1403),GREEN,GREEN
充电电流 0.1A(0x1403),GREEN,GREEN
光伏额定电压 1V(0x1402),,
电池额定电压 0.1V(0x1402),GREEN,
充电额定电流 A(0x1402),GREEN,
光伏功率 W(计算),GREEN,GREEN
充电状态 u16(0x1404),GREEN,
故障状态 u16(0x1404),GREEN,GREEN
日发电量 0.1kWh(0x1405),GREEN,GREEN
月发电量 0.1kWh(0x1405),GREEN,
总发电量 0.1kWh(0x1406),GREEN,GREEN
运行时间 Day(0x1408),,
机内空气温度 0.1℃(0x1408),GREEN,
模块温度 0.1℃(0x1408),GREEN,
设备控制模式 u16(0x140A),GREEN,
充电开关 FF00/0000(0x140A),GREEN,
充电限流 A(0x140A),,
版本号 u16(0x1401),,
设备型号编码 u16(0x1401),,
电池串数 u16(0x1401),,
过压断开电压 0.1V(0x140B),,
过压恢复电压 0.1V(0x140B),,
均充电压 0.1V(0x140B),,
浮充电压 0.1V(0x140B),,
快充电压 0.1V(0x140C),,
欠压恢复电压 0.1V(0x140C),,
欠压断开电压 0.1V(0x140C),,
